word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
여행,-0.016658476,0.46080485,-0.017066052,0.16372328,0.114334345,0.072675705,0.25763315,0.06511489,-0.1533622,0.14108522,0.13978162,-0.18402281,0.019262874,0.10554394,0.001106334,-0.016628496,0.19436286,-0.1128019,-0.16032726,-0.43270773,-0.044997234,0.07089138,0.30324966,0.18024705,0.014921133,-0.030287279,-0.04547578,-0.10144839,-0.16227148,0.0713011,0.20005098,-0.2916978,0.28334135,-0.41949877,-0.29688263,0.08264202,0.13936086,0.23334868,-0.2054952,-0.10632721,-0.18221374,0.08256228,-0.09459951,0.02422312,0.090779245,0.054412164,-0.11955921,-0.0020211244,0.008162105,0.30819324,-0.28043386,0.02248701,-0.09529799,-0.0338844,0.09868101,-0.21853183,-0.032806195,-0.113215886,-0.055486336,-0.063174136,0.03168823,-0.26132897,0.3503899,0.008097715,-0.30766207,0.09254407,-0.15943907,0.23676129,-0.29796937,-0.12735361,0.19110799,0.5044171,0.19015549,0.1460981,0.13366807,0.016158137,-0.1848971,0.20184548,-0.14853461,-0.22884911,0.0722335,-0.29753336,-0.05963894,-0.06053295,0.006743752,-0.2864029,0.3024402,-0.13202552,0.2072281,0.11890874,-0.016464807,0.13176367,-0.058790814,-0.17346849,0.42853692,0.29297337,0.07829939,-0.16165845,0.021575814,-0.05146034
경주,-0.19984244,0.39004487,0.061223686,0.121328324,0.1511648,-0.115515605,0.14751293,0.17951292,-0.3376492,-0.015613562,-0.01536103,-0.29112244,-0.17934991,0.23057532,0.0035649806,0.059845645,0.23194593,-0.13565126,-0.21179661,-0.52138186,-0.07743191,0.18007721,0.47644848,-0.012099287,-0.14342517,0.11510304,-0.09949773,-0.07580765,-0.18310995,0.17720419,0.40960056,-0.37830278,0.13889138,-0.50015223,-0.2935427,0.07423543,0.013360054,0.09354844,-0.073632255,-0.17430367,0.16233142,-0.064781934,-0.11783114,-0.025805626,0.18953024,0.10921245,-0.13783745,-0.1866511,0.011801534,0.14544281,-0.14348708,-0.0643339,0.022621604,-0.14417876,0.15329033,-0.0336509,-0.061708685,0.029159237,-0.09803508,-0.054514702,-0.03170955,-0.16379263,0.17644712,0.11486559,-0.082055666,0.21982144,0.06749405,0.28397712,-0.29622972,0.07162169,0.029011661,0.30499384,0.24434787,0.12807584,0.16779555,0.0604524,-0.15434532,0.15340148,0.014120024,-0.15646683,-0.082296155,-0.28673285,-0.059692793,0.032197498,-0.08928915,-0.2806747,0.39163145,-0.07428524,0.14020702,-0.009625133,0.15293051,0.046907958,-0.045726426,-0.24013163,0.40798032,0.285179,0.05731596,-0.15527748,-0.038579438,0.07862163
전주,0.2755084,0.40198952,-0.23066954,0.22048546,0.12803195,0.09011582,0.2567291,0.16413371,-0.011354185,0.12668115,0.12044357,-0.124184124,0.12405298,-0.017322997,-0.023470111,-0.008886082,0.094741076,-0.100040674,0.01113735,-0.5218702,0.028024852,-0.10834485,0.004920828,0.13316923,0.22052792,-0.27704465,0.029339375,-0.011730736,-0.06856606,0.007851383,0.04287098,-0.17863348,0.37152374,-0.21493329,-0.24751094,0.09758912,0.37043795,0.22382388,-0.33435455,-0.012555754,-0.45647722,0.13135527,0.034303967,0.26839736,0.016247476,-0.06533774,0.0037202642,0.008729925,0.023358596,0.581084,-0.33417717,0.07728867,-0.229035,0.06337489,-0.050165154,-0.27082518,0.11369551,-0.24574113,-0.099695794,0.022153655,0.10981838,-0.25075102,0.38432595,0.03496095,-0.51640004,0.15707368,-0.24451014,0.22369018,-0.24874172,-0.028423835,0.11625564,0.46805122,0.25071338,0.19600579,0.16592069,0.09227544,-0.06430609,0.20751561,-0.257594,-0.11226873,0.109073944,-0.08080253,-0.27721095,-0.03024788,0.031044187,-0.2971115,0.045583114,0.03592527,0.39057136,0.07882656,-0.0353831,0.24807961,-0.016803823,0.021144593,0.46878564,0.29035082,-0.004269478,-0.1988071,0.148778,-0.26393208
코스,0.006264091,0.4721402,-0.050515413,0.1850022,0.1493199,0.018749122,0.2510134,0.086797714,-0.22018504,0.12643825,0.11038419,-0.19786923,-0.034878455,0.12916106,0.040554367,0.058713228,0.23570313,-0.1353725,-0.15451139,-0.44831395,-0.102286525,0.07204386,0.3775985,0.12479256,-0.07608553,-0.008536216,-0.0872149,-0.12100768,-0.13875742,0.14079721,0.2829172,-0.3599755,0.28828445,-0.53945047,-0.29524106,0.056472767,0.0812211,0.23604257,-0.1711933,-0.08950155,-0.09789176,0.05492153,-0.0015305823,-0.023942115,0.15166613,0.032449003,-0.067859694,-0.09462168,-0.0426162,0.28375712,-0.295751,0.015745863,-0.10400352,-0.11343387,0.19063804,-0.18566833,-0.06941084,-0.018546013,-0.060541093,-0.07692213,0.024402888,-0.3231058,0.31830016,0.12435151,-0.15782063,0.074629344,-0.109704256,0.2950825,-0.28085127,-0.06915016,0.2322708,0.35832974,0.23459724,0.21951695,0.14726904,-0.04068869,-0.21563546,0.21803574,-0.09229892,-0.19340324,-0.01902939,-0.29392576,-0.07264228,-0.07255006,-0.07528278,-0.38165158,0.34218156,-0.06478095,0.21080704,0.028674137,0.061669912,0.087046795,-0.052195404,-0.22326566,0.46427923,0.27544153,0.004626329,-0.18835583,-0.059837792,-0.02295675
일,-0.18458483,0.36329597,-0.03739526,0.09818992,0.109948374,-0.134758,0.17015502,0.28771833,-0.31357163,-0.059288353,-0.111233406,-0.16535518,-0.23664892,0.2173451,-0.025174422,0.025894916,0.2076079,-0.055417523,-0.14945619,-0.64880186,-0.09798659,-0.0048802383,0.4706523,0.09799917,-0.071945384,0.033032525,-0.09231789,0.041083686,-0.14576411,0.15612827,0.28271508,-0.42646056,0.18613118,-0.6427713,-0.1828646,0.06590846,0.17220974,0.22877973,-0.22678836,0.055283044,-0.0071599567,0.02589317,-0.1699893,0.1065936,0.23331329,-0.06987858,-0.023203608,-0.18311037,0.034851223,0.2792645,-0.19100025,0.084416226,0.01938705,-0.08175695,0.21207358,-0.23065566,0.02306191,-0.20313947,-0.12950893,-0.03444732,0.030472994,-0.2910305,0.47135675,0.08457984,-0.17337303,0.22840235,0.10549487,0.3637712,-0.32522157,0.0038194177,0.19362286,0.40721864,0.18352893,0.26871908,0.23523122,0.13691828,-0.16009806,0.35582393,0.05749292,-0.2788683,-0.08881443,-0.22806045,-0.1410297,-0.11595501,-0.24517016,-0.39988855,0.5120253,0.022534203,0.13078336,0.021786384,0.08810129,0.18529229,0.025103427,-0.30709472,0.5526085,0.25352618,-0.013601768,-0.1881691,0.05739225,0.039286207
박,-0.14652264,0.34167102,-0.042743634,0.09344715,0.07075525,-0.1357861,0.1722499,0.2646775,-0.28201124,-0.10148172,-0.06691591,-0.13522342,-0.21199115,0.17342667,-0.020066986,-0.0005758691,0.18341252,-0.09259294,-0.15541252,-0.60421056,-0.11345946,0.012200356,0.41160184,0.063385755,-0.031601213,-0.009007944,-0.06770437,0.008657142,-0.1033793,0.16325915,0.23853403,-0.43243974,0.17160155,-0.6043921,-0.18742199,0.10992826,0.18126087,0.20181131,-0.20794359,0.030302005,-0.03742512,0.026715022,-0.14464328,0.09897171,0.207023,-0.071259886,-0.05819821,-0.14956513,0.02172999,0.2943938,-0.18443304,0.08569703,-0.0063422057,-0.029436694,0.14919211,-0.1851992,0.09415976,-0.18521664,-0.14362583,-0.03188556,0.022487095,-0.25680196,0.46195626,0.07252741,-0.18437402,0.20999296,0.03501751,0.3424738,-0.31920668,-0.058587108,0.1989801,0.4066665,0.20406651,0.26467833,0.21221417,0.13839814,-0.13489662,0.3228959,0.024626361,-0.21949504,-0.032941557,-0.19758137,-0.1436544,-0.13314892,-0.19266143,-0.37294653,0.4218206,0.052125856,0.1534777,0.032826364,0.07394334,0.20825034,-0.026177047,-0.27311817,0.5419289,0.28332394,-0.036600444,-0.233934,0.07181197,-0.007860755
곳,0.1586518,0.50708574,-0.06439926,0.24185781,0.26260984,0.16764109,0.2699025,-0.10890052,-0.11391863,0.24739859,0.3241111,-0.31106296,0.18910693,0.040859714,0.09147604,0.026227556,0.20201643,-0.20913222,-0.096079774,-0.17802818,-0.07765753,0.22427246,0.30445322,0.09758707,0.090574205,-0.046917573,-0.07954227,-0.22704113,-0.21602853,0.06298638,0.2998961,-0.17995265,0.27634874,-0.24404281,-0.44939086,0.06933162,-0.08303872,0.17621587,-0.00090516417,-0.40410885,-0.17222533,-0.006349773,0.07060503,-0.11627828,0.014804244,0.1913855,-0.23665759,0.005008124,-0.060366523,0.16991518,-0.27095178,-0.17895496,-0.116518974,-0.19920896,0.035745792,-0.11773098,-0.1512955,0.061170354,0.012986622,-0.20200692,0.036158506,-0.31362462,0.1208584,0.11104184,-0.24284434,0.052994724,-0.37308034,0.2101936,-0.32595864,-0.08546441,0.067203,0.3563682,0.22375807,0.030598484,-0.036096454,-0.21923977,-0.19212559,0.018647293,-0.31910068,-0.067234956,0.11236429,-0.40167806,0.031512897,0.1129455,0.24209589,-0.2280813,0.1289143,-0.2464484,0.28722322,0.05477389,0.09247282,-0.0903506,-0.10172529,-0.12931845,0.28384632,0.36917868,0.1761994,-0.13328116,-0.13761036,-0.16183543
추천,0.0110910395,0.33174095,-0.014770732,0.16439271,0.12296706,-0.013759354,0.16890576,0.060761508,-0.20443565,0.03804866,0.099331856,-0.20107953,-0.009256743,0.10850441,0.0397177,0.033209328,0.18341687,-0.12306673,-0.13394123,-0.41202995,-0.024289953,0.118659034,0.28080252,0.014739859,-0.009121256,-0.013320764,-0.07286509,-0.07045638,-0.180763,0.122857265,0.24712315,-0.25481495,0.21823739,-0.38486472,-0.2754946,0.06010324,0.042562667,0.16220275,-0.15228257,-0.13893428,-0.035650052,-0.008490158,-0.0258858,0.033678688,0.10455806,0.040114645,-0.11909975,-0.1051144,0.005192687,0.24799097,-0.20634131,-0.026447393,-0.04154009,-0.10386451,0.10999097,-0.10249705,-0.06407764,-0.017570801,-0.05096298,-0.04448302,0.021487145,-0.21282959,0.22684813,0.106435,-0.18722439,0.1348377,-0.11869886,0.26975715,-0.23912258,-0.0022599376,0.100447275,0.29379937,0.21749444,0.1211606,0.10006146,0.013681811,-0.084582746,0.12638189,-0.10584307,-0.11362168,-0.023678804,-0.2277255,-0.10065556,0.022009708,-0.019965664,-0.26514927,0.23171689,-0.029452922,0.22252482,-0.005622739,0.08165757,0.05705656,-0.039800435,-0.13054839,0.36303338,0.27250686,0.024211824,-0.15282124,-0.0011678007,-0.08114254
만,0.14713866,0.659434,-0.09018303,0.34124744,0.31287435,0.26846805,0.3428273,-0.1712684,-0.1347393,0.37206075,0.36609486,-0.3402381,0.21344744,0.11170546,0.11228962,0.05262371,0.2668926,-0.23752992,-0.13223378,-0.21916892,-0.13056435,0.27081445,0.36281535,0.19316211,0.06822723,-0.045476716,-0.09236181,-0.31306598,-0.21968555,0.08355882,0.34863272,-0.30010286,0.37740627,-0.36675024,-0.5187887,0.052365966,-0.051743653,0.33711782,0.024317227,-0.38948515,-0.24834363,0.056197636,0.053500716,-0.13148461,0.036827534,0.21936348,-0.26734546,0.048874818,-0.06504516,0.2285728,-0.3809587,-0.13018785,-0.14664783,-0.22712718,0.17462175,-0.19661927,-0.15408033,0.090546735,0.054837886,-0.25198752,0.015195909,-0.4252636,0.21130481,0.10177064,-0.3086672,-0.0270502,-0.46270922,0.2494108,-0.34463775,-0.15185481,0.196776,0.44772792,0.29138282,0.10675745,-0.030446276,-0.27628854,-0.3201082,0.02246494,-0.3710451,-0.19673368,0.13800435,-0.5119445,0.100458905,0.01708637,0.255508,-0.3322208,0.1942721,-0.33948743,0.33302283,0.12480277,0.036955565,-0.057201635,-0.13367268,-0.19487448,0.38470244,0.4299424,0.17837171,-0.13731974,-0.17168863,-0.1532791
한옥마을,0.21749873,0.20083417,-0.18299504,0.09318508,0.10710419,-0.046161454,0.15849867,0.23070593,0.01908489,-0.09782842,0.14982876,-0.14293423,0.21236973,-0.10361177,-0.0034324336,-0.09476629,0.031060493,-0.18219858,0.053109966,-0.48466682,0.1899738,-0.0399597,-0.09449907,-0.029842082,0.3695134,-0.2689877,0.045848355,0.1430296,-0.13624524,-0.024049643,-0.009314669,-0.007826991,0.24352638,-0.013106005,-0.22353248,0.24746923,0.3211028,0.104698636,-0.30242878,-0.09137833,-0.37337756,0.07937459,-0.05692728,0.33394346,0.015991447,-0.02991164,-0.061049264,0.0532478,0.086793624,0.4968672,-0.13695845,0.02445543,-0.14729719,0.09895592,-0.19314718,-0.14700603,0.15909898,-0.25249544,-0.10358145,0.015073303,0.088050134,-0.10877159,0.38326186,0.007804662,-0.5812173,0.28540632,-0.27582663,0.21395041,-0.30294496,0.067104705,-0.12803155,0.47596475,0.187565,0.043134063,0.13156694,0.07138358,0.09761446,0.13810809,-0.3138918,0.047832355,0.10628551,0.06906236,-0.34833446,0.22059092,0.11622375,-0.0911903,-0.04639458,0.1100748,0.40658942,0.08189373,0.07057566,0.23359537,0.09610611,0.13970888,0.39304805,0.35458273,0.04319983,-0.17057855,0.23919289,-0.38783568
