title,link,description,title_nouns,desc_nouns,all_nouns
전주 여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=280855483&qb=7KCE7KO87Jes7ZaJ&enc=utf8,안녕하십니까 달봉TV 전주달봉이의 5882 전주여행 전주맛집 전주관광 전주정보입니다  택시같은경우는 최대 4인까지 탈수있기떄문에  택시 2대를 타셔야합니다 ㅠㅠ 그래서 택시비가 더 나갈꺼에요  그런대 송천동에서,"['전주', '여행']","['안녕', '봉', '전', '주달', '봉이', '전주', '여행', '전주', '맛집', '전주', '관광', '전주', '정보', '택시', '경우', '최대', '인', '수', '택시', '대', '택시', '비', '꺼', '대', '송천동']","['전주', '여행', '안녕', '봉', '전', '주달', '봉이', '전주', '여행', '전주', '맛집', '전주', '관광', '전주', '정보', '택시', '경우', '최대', '인', '수', '택시', '대', '택시', '비', '꺼', '대', '송천동']"
전주여행 질문,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=1213050212&docId=275299803&qb=7KCE7KO87Jes7ZaJ&enc=utf8,전주한옥마을에서 한복대여해서 스냅촬영후에 임실치즈테마파크 구경하고 6시나 7시쯤 전주에서 돌아오는게 다시 전주로오시면 전주 남부시장 야시장도 꼮 들러보시는게 좋을꺼같습니다  추천드려요 감사합니다 전주,"['전주', '여행', '질문']","['전주', '한옥', '마을', '한복', '대여', '스냅', '촬영', '후', '임실', '치즈', '테마파크', '구경', '시', '시', '전주', '게', '전', '전주', '남부', '시장', '야시장', '게', '꺼', '추천', '감사', '전주']","['전주', '여행', '질문', '전주', '한옥', '마을', '한복', '대여', '스냅', '촬영', '후', '임실', '치즈', '테마파크', '구경', '시', '시', '전주', '게', '전', '전주', '남부', '시장', '야시장', '게', '꺼', '추천', '감사', '전주']"
전주 여행가려는데요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=217972645&qb=7KCE7KO87Jes7ZaJ&enc=utf8,위주로 여행계획이시라면 숙소는 풍남관광호텔 or 전주 영화호텔 or 터미널근처 화이트호텔 정도 추천해드릴수있쑵니다 가격은 2인기준 조식포함 7마눤  말잘해야 깍아줌 공손하게 깍듯하게 원래 주말에 할인안돼는데 설끼어서,"['전주', '여행', '데']","['위주', '여행', '계획', '숙소', '풍남', '관광호텔', '전주', '영화', '호텔', '터미널', '근처', '화이트', '호텔', '정도', '추천', '수', '가격', '조식', '포함', '마', '말', '주말', '인안', '설']","['전주', '여행', '데', '위주', '여행', '계획', '숙소', '풍남', '관광호텔', '전주', '영화', '호텔', '터미널', '근처', '화이트', '호텔', '정도', '추천', '수', '가격', '조식', '포함', '마', '말', '주말', '인안', '설']"
중1 전주여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=433821763&qb=7KCE7KO87Jes7ZaJ&enc=utf8,친구랑 단둘이서 여행가고싶은데 1 1박2일은 위험하고 무리일까요 2돈을 얼마들까요 3만약1박2일하면 좋은 1박2일 위험할거 없을거같은데 저는 남자라 그런가 저는 시내버스를 이용했었고 전주한옥마을이랑 시장에서,"['중', '전주', '여행']","['친구', '둘', '여행', '박', '일', '위험', '무리', '돈', '얼마', '만약', '박', '일', '박', '일', '위험', '거', '거', '저', '남자', '저', '시내버스', '이용', '전주', '한옥마을', '시장']","['중', '전주', '여행', '친구', '둘', '여행', '박', '일', '위험', '무리', '돈', '얼마', '만약', '박', '일', '박', '일', '위험', '거', '거', '저', '남자', '저', '시내버스', '이용', '전주', '한옥마을', '시장']"
전주  여행 코스좀알려주세요,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=1213050228&docId=190794661&qb=7KCE7KO87Jes7ZaJ&enc=utf8,버스타고 전주역에서내려서 머부터하면좋을까요많이좀알려주세요ㅜㅜ도와주세요 전주 여행하면 첫번째로 생각나는곳이 한옥마을 이겠죠 ㅎㅎ 다양한 체험거리 먹을거리가 있으니깐요 그리고 시간이나시면 수목원 한바퀴,"['전주', '여행', '코스']","['버스', '전주역', '머', '전주', '여행', '번', '곳', '한옥마을', '체험', '거리', '시간', '수목원', '바퀴']","['전주', '여행', '코스', '버스', '전주역', '머', '전주', '여행', '번', '곳', '한옥마을', '체험', '거리', '시간', '수목원', '바퀴']"
전주 한옥마을 여행코스좀용,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=280799824&qb=7KCE7KO87Jes7ZaJ&enc=utf8,안녕하십니까 달봉TV 전주달봉이의 5882 전주여행 전주맛집 전주관광 전주한옥마을 전주정보입니다  제가 완벽하게 말씀드릴꼐요  좋은추억 만드신다고하셧으니 ㅎㅎㅎ 일단은 막걸리집가서 2인상을 시키시고요  그러면 안주랑,"['전주', '한옥마을', '여행', '코스', '용']","['안녕', '봉', '전', '주달', '봉이', '전주', '여행', '전주', '맛집', '전주', '관광', '전주', '한옥마을', '전주', '정보', '제', '완벽', '말씀', '추억', '막걸리', '집', '인상', '안주']","['전주', '한옥마을', '여행', '코스', '용', '안녕', '봉', '전', '주달', '봉이', '전주', '여행', '전주', '맛집', '전주', '관광', '전주', '한옥마을', '전주', '정보', '제', '완벽', '말씀', '추억', '막걸리', '집', '인상', '안주']"
전주 여행을 처음가는데 전북도립미술관,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=411631922&qb=7KCE7KO87Jes7ZaJ&enc=utf8,전주 여행을 처음가는데 전북도립미술관을 가는게 좋을까요 아니면 수목원을 가야할까요 가보신분들 골라주세용ㅠ 나라면 수목원 갑니다,"['전주', '여행', '전북', '도립', '미술관']","['전주', '여행', '전북', '도립', '미술관', '게', '수목원', '분', '나', '수목원']","['전주', '여행', '전북', '도립', '미술관', '전주', '여행', '전북', '도립', '미술관', '게', '수목원', '분', '나', '수목원']"
전주여행코스도와주세요,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=1213050212&docId=193229616&qb=7KCE7KO87Jes7ZaJ&enc=utf8,친구와 전주당일여행을을하려는데 스케줄짜기가너무어려워서요ㅠㅠ풍년제과 전동성당 전주한옥마을 전주시내 이런코스로 돌려고하는데 대구에서기차타고가서 전주에내려어떤순서로 여행하면좋을지 순서와,"['전주', '여행', '코스']","['친구', '전주', '당일', '여행', '스케줄', '전동성당', '전주', '한옥마을', '전주', '시내', '코스', '대구', '기차', '전주', '순서', '여행', '순서']","['전주', '여행', '코스', '친구', '전주', '당일', '여행', '스케줄', '전동성당', '전주', '한옥마을', '전주', '시내', '코스', '대구', '기차', '전주', '순서', '여행', '순서']"
전주에서 여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=460318768&qb=7KCE7KO87Jes7ZaJ&enc=utf8,전주에서 기차나 고속버스 타고 2시간 이하로 갈 수 있고 친구들끼리 여행가는데 여행가기 좋은 지역 알려주세요 그리고 그 지역에 예쁜 관광지나 카페 많이 알려주세요고딩이라 가격도 별로 안들고 이동할때도,"['전주', '여행']","['전주', '기차', '고속버스', '시간', '이하', '수', '친구', '여행', '여행', '지역', '지역', '관광지', '카페', '딩', '가격', '이동', '때']","['전주', '여행', '전주', '기차', '고속버스', '시간', '이하', '수', '친구', '여행', '여행', '지역', '지역', '관광지', '카페', '딩', '가격', '이동', '때']"
전주여행가서 기념품으로 먹을 거를 사,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=318752073&qb=7KCE7KO87Jes7ZaJ&enc=utf8,전주여행가서 기념품으로 먹을 거를 사려고 하는데 전주에서 유명한 거 있나요 초코파이 말구요 간단한 간식으론 모정꽈배기도 괜찮아요 모주도 나름 괜찮고 전북 지역 술도 좋아하셨어요 하이트 소주,"['전주', '여행가', '기념품', '거']","['전주', '여행가', '기념품', '거', '전주', '거', '초코파이', '말', '간식', '모정', '꽈배기', '모주', '나름', '전북', '지역', '술', '하이트', '소주']","['전주', '여행가', '기념품', '거', '전주', '여행가', '기념품', '거', '전주', '거', '초코파이', '말', '간식', '모정', '꽈배기', '모주', '나름', '전북', '지역', '술', '하이트', '소주']"
여친과 당일치기 전주여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=214041141&qb=7KCE7KO87Jes7ZaJ&enc=utf8,안녕하세요 1월달에 여친이랑 당일치기로 전주여행 가려고해요 전주를 안가봐서 가면 어케 다녀야하는지 몰라서 지식인에 도움을 구해요ㅠㅠ 데이트 하면서 사진 많이 찍을 수 있고 길거리음식 많이 먹을 수 있는 데이트코스로,"['여친', '당일치기', '전주', '여행']","['안녕', '월', '달', '여친', '당일', '전주', '여행', '전주', '지식인', '도움', '데이트', '사진', '수', '길거리', '음식', '수', '데이트', '코스']","['여친', '당일치기', '전주', '여행', '안녕', '월', '달', '여친', '당일', '전주', '여행', '전주', '지식인', '도움', '데이트', '사진', '수', '길거리', '음식', '수', '데이트', '코스']"
안녕하세요 5월 말쯤 전주 여행 계획,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8020113&docId=326241758&qb=7KCE7KO87Jes7ZaJ&enc=utf8,안녕하세요 5월 말쯤 전주 여행 계획중입니다 유명한 맛집도 좋지만 현지인들이 가는 검증된 맛집이나 술집 추천 부탁드려요 참고로 한식이나 일식 특히 해산물 좋아합니다 육류는 사시미나 육회 좋아하구요 유명하더라도 후회없는,"['안녕', '월', '말', '전주', '여행', '계획']","['안녕', '월', '말', '전주', '여행', '계획', '중', '맛집', '현지', '검증', '맛집', '술집', '추천', '부탁', '참고', '한식', '일식', '해산물', '육류', '사시미', '육회', '후회']","['안녕', '월', '말', '전주', '여행', '계획', '안녕', '월', '말', '전주', '여행', '계획', '중', '맛집', '현지', '검증', '맛집', '술집', '추천', '부탁', '참고', '한식', '일식', '해산물', '육류', '사시미', '육회', '후회']"
전주여행일정및숙박장소,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=74110712&qb=7KCE7KO87Jes7ZaJ&enc=utf8,담주에 1박2일이나 2박 3일로 전주 주변으로 여행을 갈 생각입니다 그래서 여행 일정을 짜고 있는데 일정을 어떻게 잡아야 할 지 그리고 숙소는 어디에 잡아야 이동하기 편할지 모르겠어서 도움을 청합니다 1 가보려고 하는 장소,"['전주', '여행', '일정', '숙박', '장소']","['담주', '박', '일', '박', '일', '전주', '주변', '여행', '생각', '여행', '일정', '일정', '지', '숙소', '어디', '이동', '도움', '청', '장소']","['전주', '여행', '일정', '숙박', '장소', '담주', '박', '일', '박', '일', '전주', '주변', '여행', '생각', '여행', '일정', '일정', '지', '숙소', '어디', '이동', '도움', '청', '장소']"
전주여행 할건데 현지인이 아는 맛집추천좀요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90110&docId=203789877&qb=7KCE7KO87Jes7ZaJ&enc=utf8,전주여행을 갈건데 인터넷에서 봤던 전주맛집도 갈거지만 홍보가 많이 된곳 말고 현지인들만 아는 맛집도 가보고 싶어서요 혹시 전주사시는 분들 여기가 정말 전주 맛집이다 하는곳 추천해주세요 전주여행이라하면 맛있는게 많은,"['전주', '여행', '건데', '현지인', '맛집', '추천']","['전주', '여행', '건데', '인터넷', '전주', '맛집', '거', '홍보', '곳', '현지', '맛집', '주사', '분', '여기', '전주', '맛집', '곳', '추천', '전주', '여행', '게']","['전주', '여행', '건데', '현지인', '맛집', '추천', '전주', '여행', '건데', '인터넷', '전주', '맛집', '거', '홍보', '곳', '현지', '맛집', '주사', '분', '여기', '전주', '맛집', '곳', '추천', '전주', '여행', '게']"
