title,link,description,title_nouns,desc_nouns,all_nouns
경주 여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=483364174&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주여행은 아래를 참조하시면 더 도움 될거에요 httpsvalina8342tistorycomentryECB29CEB8584EC9D98EC97ADEC82ACEC9980EAB090EC84B1EC97ACED9689EAB2BDECA3BCED9584EC8898ECBD94EC8AA4EC,"['경주', '여행']","['경주', '여행', '아래', '참조', '도움', '거']","['경주', '여행', '경주', '여행', '아래', '참조', '도움', '거']"
경주여행 질문,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121102&docId=477098415&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주여행 코스 짜봤는데요 이렇게 가도 되나요 그리고 2일차에 경주시내권 숙소인데 첨성대코스와 황리단길은 도보이동 가능한가요 아니면 차타고 가야하나요 1일차  불국사권 숙소 1 불국사 2 석굴암 바람의 언덕 3 숙소 체크인 4,"['경주', '여행', '질문']","['경주', '여행', '코스', '일', '차', '경주', '시내', '숙소', '첨성대', '코스', '황리', '길', '도보이', '동', '가능', '가요', '차', '하나', '일', '차', '불국사', '숙소', '불국사', '석굴암', '바람', '언덕', '숙소', '체크인']","['경주', '여행', '질문', '경주', '여행', '코스', '일', '차', '경주', '시내', '숙소', '첨성대', '코스', '황리', '길', '도보이', '동', '가능', '가요', '차', '하나', '일', '차', '불국사', '숙소', '불국사', '석굴암', '바람', '언덕', '숙소', '체크인']"
경주 여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=477081199&qb=6rK97KO87Jes7ZaJ&enc=utf8,2월에 2박3일로 경주 여행 가려고 하는데 펜션이나 호텔 예약은 몇달전부터 하는 게 좋을까요 1달전이 제일 좋습니다만 가는 날짜들이 성수기라면 2달전에 하는게 좋겠죠,"['경주', '여행']","['월', '박', '일', '경주', '여행', '펜션', '호텔', '예약', '달', '전', '게', '달', '전', '날짜', '성수기', '달', '전', '게']","['경주', '여행', '월', '박', '일', '경주', '여행', '펜션', '호텔', '예약', '달', '전', '게', '달', '전', '날짜', '성수기', '달', '전', '게']"
경주여행 당일치기 질문이요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=483638250&qb=6rK97KO87Jes7ZaJ&enc=utf8,뚜버기 인데 1박 할지 당일치기로 갔다올지 모르겠는데 우선 당일로 갈거같아요 오전 11시 쯤 경주 터미널 도착 오후9시 경주 터미널 에서 집가는버스 11시 경주 버스터미널에 도착한다고 치면 황리단길 대릉원 첨성대 월정교 동궁과월지,"['경주', '여행', '당일치기', '질문']","['박', '당일', '당일', '거', '오전', '시', '쯤', '경주', '터미널', '도착', '오후', '시', '경주', '터미널', '집', '버스', '시', '경주', '버스', '터미널', '도착', '황리', '길', '대릉원', '첨성대', '월', '정교', '동궁', '월지']","['경주', '여행', '당일치기', '질문', '박', '당일', '당일', '거', '오전', '시', '쯤', '경주', '터미널', '도착', '오후', '시', '경주', '터미널', '집', '버스', '시', '경주', '버스', '터미널', '도착', '황리', '길', '대릉원', '첨성대', '월', '정교', '동궁', '월지']"
경주 여행 가볼까 하는데요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=483971932&qb=6rK97KO87Jes7ZaJ&enc=utf8,다른곳은 특별히 안가고 경주만 보려고요 저도 경주 여행 준비하면서 진짜 헤맸는데요 시티투어 탈까 그냥 블로그 한 번 보고 시작해보세요 경주 여행 헛걸음 없이 딱 맞게 즐기고 싶다면 여기부터 보시는 거 추천드립니다,"['경주', '여행']","['곳', '경주', '저', '경주', '여행', '준비', '시티투어', '블로그', '번', '시작', '경주', '여행', '걸음', '여기', '거', '추천']","['경주', '여행', '곳', '경주', '저', '경주', '여행', '준비', '시티투어', '블로그', '번', '시작', '경주', '여행', '걸음', '여기', '거', '추천']"
경주여행 어때요고등학생시절 추억 만들까해요ㅠ,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=12091502&docId=153078029&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주여행 어때요고등학생시절 추억 만들까해요ㅠ 로또되는 꿈 꿨는데 해몽해줘요 컴퓨터 조립식은 얼마죠 경주 여행은 고등학생 시절의 추억을 만들기에 아주 좋은 선택입니다 경주는 한국의 역사와 문화를 느낄 수 있는 도시로,"['경주', '여행', '고등학생', '시절', '추억']","['경주', '여행', '고등학생', '시절', '추억', '로또', '꿈', '해몽', '컴퓨터', '조립식', '얼마', '경주', '여행', '고등학생', '시절', '추억', '선택', '경주', '한국', '역사', '문화', '수', '도시']","['경주', '여행', '고등학생', '시절', '추억', '경주', '여행', '고등학생', '시절', '추억', '로또', '꿈', '해몽', '컴퓨터', '조립식', '얼마', '경주', '여행', '고등학생', '시절', '추억', '선택', '경주', '한국', '역사', '문화', '수', '도시']"
남자혼자 경주여행 4박5일 일정 및 숙소예약 문의,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=485830206&qb=6rK97KO87Jes7ZaJ&enc=utf8,혼자 경주 여행 멋지게 계획 중이시네요 4박 5일이면 여유 있게 경주를 제대로 느낄 수 있는 일정이에요 가성비 숙소 경주역 근처 게스트하우스나 황리단길 쪽 한옥 게스트하우스가 가격도 좋고 접근성도 좋아요 바닷가 이동,"['남자', '혼자', '경주', '여행', '박', '일', '일정', '숙소', '예약', '문의']","['경주', '여행', '계획', '중', '박', '일', '여유', '경주', '수', '일정', '가성', '숙소', '경주역', '근처', '게스트', '하우스', '황리', '길', '쪽', '한옥', '게스트', '하우스', '가격', '접근성', '바닷가', '이동']","['남자', '혼자', '경주', '여행', '박', '일', '일정', '숙소', '예약', '문의', '경주', '여행', '계획', '중', '박', '일', '여유', '경주', '수', '일정', '가성', '숙소', '경주역', '근처', '게스트', '하우스', '황리', '길', '쪽', '한옥', '게스트', '하우스', '가격', '접근성', '바닷가', '이동']"
경주여행 루트 천마총 경주중앙시장,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=473363034&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주여행 일정을 천마총 갔다가gtgtgtgt 중앙시장 가려고 하는데 네이버 지도에 검색해보니까 다시 밑으로 내려갔다가 올라가라고 하네요 동선낭비 너무 심한데 지도에 나온거처럼 삥 돌아가야 하나요  중간에 나가는 문 없나요 천마총,"['경주', '여행', '루트', '천마총', '경주', '중앙', '시장']","['경주', '여행', '일정', '천마총', '중앙', '시장', '네이버', '지도', '검색', '밑', '동선', '낭비', '데', '지도', '거', '하나', '중간', '문', '천마총']","['경주', '여행', '루트', '천마총', '경주', '중앙', '시장', '경주', '여행', '일정', '천마총', '중앙', '시장', '네이버', '지도', '검색', '밑', '동선', '낭비', '데', '지도', '거', '하나', '중간', '문', '천마총']"
20대 중반 여성 경주여행 식당 및 술집 추천해주세요,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121102&docId=471211718&qb=6rK97KO87Jes7ZaJ&enc=utf8,7월에 친구들이랑 경주 여행을 가는데 경주에 대해서 마땅히 잘 알지 못해서 막막하네요ㅜㅜ 20대 여자이며 술을 좋아합니다 황리단길이랑 보문단지 핫플 추천해 주세요 그리고 맛있는 식당도 추천 부탁드립니다 하루는 시내권,"['대', '중반', '여성', '경주', '여행', '식당', '술집', '추천']","['월', '친구', '경주', '여행', '경주', '대', '여자', '술', '황리', '길', '보문', '핫', '플', '추천', '식당', '추천', '부탁', '하루', '시내']","['대', '중반', '여성', '경주', '여행', '식당', '술집', '추천', '월', '친구', '경주', '여행', '경주', '대', '여자', '술', '황리', '길', '보문', '핫', '플', '추천', '식당', '추천', '부탁', '하루', '시내']"
경주 여행 1박2일,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=901&docId=477072457&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주 여행 1박 2일 경비 어느정도 나올까요 숙소랑 교통비 빼고요 쓰기나름 이지만 식대 입장료 간식 정도이면 큰돈은 들지 않겠조 본인의 주머니 만큼 생각해서 조절하여 쓰는게 좋겠네요 여유가 있다면 맛있는것도 먹고해도 좋겠죠,"['경주', '여행', '박', '일']","['경주', '여행', '박', '일', '경비', '정도', '숙소', '교통비', '나름', '식대', '입장료', '간식', '정도', '돈', '조', '본인', '주머니', '만큼', '생각', '조절', '게', '여유', '것']","['경주', '여행', '박', '일', '경주', '여행', '박', '일', '경비', '정도', '숙소', '교통비', '나름', '식대', '입장료', '간식', '정도', '돈', '조', '본인', '주머니', '만큼', '생각', '조절', '게', '여유', '것']"
경주여행지 2박3일 추천,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=480019503&qb=6rK97KO87Jes7ZaJ&enc=utf8,이번에 남자친구 전역 직전으로 경주 여행을 가기로 했는데요 둘다 황리단길 외엔 아는게 없어서요ㅠㅠ 차가 있어서 경주여행을 계획하고 계시는군요 별다섯개 경주 2박3일 여행코스를 공유하니 내용 참고하시면 좋을 것같습니다,"['경주', '여행지', '박', '일', '추천']","['이번', '남자', '친구', '전역', '직전', '경주', '여행', '둘', '황리', '길', '외', '게', '차', '경주', '여행', '계획', '다섯', '개', '경주', '박', '일', '여행', '코스', '공유', '내용', '참고', '것']","['경주', '여행지', '박', '일', '추천', '이번', '남자', '친구', '전역', '직전', '경주', '여행', '둘', '황리', '길', '외', '게', '차', '경주', '여행', '계획', '다섯', '개', '경주', '박', '일', '여행', '코스', '공유', '내용', '참고', '것']"
아이랑 일박이일 경주여행코스,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=484630101&qb=6rK97KO87Jes7ZaJ&enc=utf8,다섯 살 아이와 함께 경주로 가족여행을 갑니다 첫날 점심쯤 경주역 도착 예정이고 숙소는 보문관광단지 근처입니다 둘째 날은 경주월드를 다녀오고 오후 4시쯤 경주를 떠날 계획입니다 직접 운전할 예정인데 코스를 어떻게 짜야,"['아이', '일', '박', '이', '일', '경주', '여행', '코스']","['다섯', '살', '아이', '경주', '가족', '여행', '첫날', '점심', '경주역', '도착', '예정', '숙소', '보문관광단지', '근처', '둘째', '날', '경주', '월드', '오후', '시', '경주', '계획', '운전', '예정', '코스']","['아이', '일', '박', '이', '일', '경주', '여행', '코스', '다섯', '살', '아이', '경주', '가족', '여행', '첫날', '점심', '경주역', '도착', '예정', '숙소', '보문관광단지', '근처', '둘째', '날', '경주', '월드', '오후', '시', '경주', '계획', '운전', '예정', '코스']"
경주 여행 추천,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=482537365&qb=6rK97KO87Jes7ZaJ&enc=utf8,안녕하세영 경주여행 할려고 하는 10대인데여 황리단길 근처 어둑한 분위기 좋겟어요 경주 여행 가이드 교통편 맛집 볼거리까지 모두 알려줄게요  경주 여행 가이드 교통편 맛집 볼거리까지 모두 알려줄게요,"['경주', '여행', '추천']","['세영', '경주', '여행', '대', '여', '황리', '길', '근처', '분위기', '경주', '여행', '가이드', '교통편', '맛집', '볼거리', '게', '경주', '여행', '가이드', '교통편', '맛집', '볼거리', '게요']","['경주', '여행', '추천', '세영', '경주', '여행', '대', '여', '황리', '길', '근처', '분위기', '경주', '여행', '가이드', '교통편', '맛집', '볼거리', '게', '경주', '여행', '가이드', '교통편', '맛집', '볼거리', '게요']"
경주여행 동선 부탁드려요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=407781929&qb=6rK97KO87Jes7ZaJ&enc=utf8,1박으로 어린애들 데리고 경주여행할거에요 숙소는 보문단지이구요 우선 정도 경주여행을 다녀온 것 같은데요 아이랑 경주여행하면서 체험코스 맛집  경주여행 TIP 1 경주 여행코스는 크게 시내권 보문관광단지 토함산 남산,"['경주', '여행', '동선', '부탁']","['박', '어린애', '경주', '여행', '거', '숙소', '보문', '단지', '정도', '경주', '여행', '것', '아이', '경주', '여행', '체험', '코스', '맛집', '경주', '여행', '경주', '여행', '코스', '시내', '보문관광단지', '토함산', '남산']","['경주', '여행', '동선', '부탁', '박', '어린애', '경주', '여행', '거', '숙소', '보문', '단지', '정도', '경주', '여행', '것', '아이', '경주', '여행', '체험', '코스', '맛집', '경주', '여행', '경주', '여행', '코스', '시내', '보문관광단지', '토함산', '남산']"
경주여행3박4일 갈려고하는데 24만원 괜찮을까요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=460586156&qb=6rK97KO87Jes7ZaJ&enc=utf8,애인이랑 3박4일 경주여행갈려고하는데 돈을 제가 다쓸려고 맘먹었는데 24만원이면 충분할까요 경주여행3박4일 갈려고하는데 245000원 괜찮을까 애인이랑 3박4일 경주여행갈려고하는데 돈을 제가 다쓸려고 맘먹었는데 24만원이면,"['경주', '여행', '박', '일', '데', '만', '원']","['애인', '박', '일', '경주', '여행', '돈', '제', '만', '원', '경주', '여행', '박', '일', '데', '원', '애인', '박', '일', '경주', '여행', '돈', '제', '만', '원']","['경주', '여행', '박', '일', '데', '만', '원', '애인', '박', '일', '경주', '여행', '돈', '제', '만', '원', '경주', '여행', '박', '일', '데', '원', '애인', '박', '일', '경주', '여행', '돈', '제', '만', '원']"
경주여행코스좀,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=447058006&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주여행코스좀 경주 여행을 계획하고 계신다니 정말 흥미로운 여행이 될 것 같습니다 경주는 신라의 역사와 문화 아름다운 자연경관을 느낄 수 있는 대한민국의 대표적인 관광 도시입니다 1박 2일 동안 방문할 수 있는 추천 여행,"['경주', '여행', '코스']","['경주', '여행', '코스', '경주', '여행', '계획', '흥미', '여행', '것', '경주', '신라', '역사', '문화', '자연', '경관', '수', '대한민국', '대표', '관광', '도시', '박', '일', '동안', '방문', '수', '추천', '여행']","['경주', '여행', '코스', '경주', '여행', '코스', '경주', '여행', '계획', '흥미', '여행', '것', '경주', '신라', '역사', '문화', '자연', '경관', '수', '대한민국', '대표', '관광', '도시', '박', '일', '동안', '방문', '수', '추천', '여행']"
경주여행 실내관광,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=450211953&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주여행 가는데 비가 많이 오더라고요 실내로 가는 곳 추천 좀 해주세요 검색을 기반 삼아 경주에서 비가 오는 실제 방문하시는 날씨와 여행 일정에 따라 운영시간을 확인해 보시고 즐거운 경주 여행 되시길 바랍니다 채택해,"['경주', '여행', '실내', '관광']","['경주', '여행', '비', '실내', '곳', '추천', '검색', '기반', '경주', '비', '실제', '방문', '날씨', '여행', '일정', '운영', '시간', '확인', '경주', '여행', '채택']","['경주', '여행', '실내', '관광', '경주', '여행', '비', '실내', '곳', '추천', '검색', '기반', '경주', '비', '실제', '방문', '날씨', '여행', '일정', '운영', '시간', '확인', '경주', '여행', '채택']"
경주여행 운전,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=484876350&qb=6rK97KO87Jes7ZaJ&enc=utf8,평상시에는 운전을 안하고 제주 여행 갈때 몇번 해본게 다입니다 경주 케텍스 타고 가서 렌트 할거 같은데 초보 운전도 돌아다니기 어렵지 않을까요 경주는그렇게 복잡하지는 않은곳이지만 운전에 자신이 없다면 조심운전을 하면,"['경주', '여행', '운전']","['평상시', '운전', '제주', '여행', '때', '번', '게', '경주', '텍스', '렌트', '거', '초보', '운전', '경주', '곳', '운전', '자신', '조심', '운전']","['경주', '여행', '운전', '평상시', '운전', '제주', '여행', '때', '번', '게', '경주', '텍스', '렌트', '거', '초보', '운전', '경주', '곳', '운전', '자신', '조심', '운전']"
경주 여행 질문이요,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=458127300&qb=6rK97KO87Jes7ZaJ&enc=utf8,사시거나 경주 여행 가보신 분들의 의견 부탁드립니다 경주 한바퀴 돌아주는 버스 타시거나 택시타세용 걸어서 경주 여행해보면 알거에요 택시잡기 힘들어요ㅋㅋ 첨부터 택시 많은관광지에서 택시잡거나 카카오 택시,"['경주', '여행', '질문']","['경주', '여행', '분', '의견', '부탁', '경주', '바퀴', '버스', '택시', '경주', '여행', '거', '택시', '첨', '택시', '관광지', '택시', '카카오', '택시']","['경주', '여행', '질문', '경주', '여행', '분', '의견', '부탁', '경주', '바퀴', '버스', '택시', '경주', '여행', '거', '택시', '첨', '택시', '관광지', '택시', '카카오', '택시']"
경주 여행 식당 추천 부탁드립니다,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=465334623&qb=6rK97KO87Jes7ZaJ&enc=utf8,한시간 뒤면 경주 도착하는데 경주여행가서 여기는 꼭가봐야한다하는 식당이 경주 여행에서 특별한 대접을 받을 수 있는 식당을 추천해드리겠습니다 위 두 식당 중 하나를 선택하시면 경주 여행에서 특별한 대접을 받을 수 있을,"['경주', '여행', '식당', '추천', '부탁']","['시간', '경주', '도착', '경주', '여행가', '여기', '식당', '경주', '여행', '특별', '대접', '수', '식당', '추천', '식당', '중', '하나', '선택', '경주', '여행', '특별', '대접', '수']","['경주', '여행', '식당', '추천', '부탁', '시간', '경주', '도착', '경주', '여행가', '여기', '식당', '경주', '여행', '특별', '대접', '수', '식당', '추천', '식당', '중', '하나', '선택', '경주', '여행', '특별', '대접', '수']"
3월 1일 경주 여행 코스 당일치기,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=413559176&qb=6rK97KO87Jes7ZaJ&enc=utf8,학생 4명이고 31 경주 여행 코스 좀 알려주세요 첨성대 근처 한복나드리에서 질문하신 경주 여행일정 관련 답변 드리도록 하겠습니다 황리단길과 맞춤형 경주 여행일정을 준비했어요 아래 첨부된 일정을 참고해보시고 여행에,"['월', '일', '경주', '여행', '코스', '당일치기']","['학생', '명', '경주', '여행', '코스', '첨성대', '근처', '한복', '나드리', '질문', '경주', '여행', '일정', '관련', '답변', '황리', '길', '맞춤', '경주', '여행', '일정', '준비', '아래', '첨부', '일정', '참고', '여행']","['월', '일', '경주', '여행', '코스', '당일치기', '학생', '명', '경주', '여행', '코스', '첨성대', '근처', '한복', '나드리', '질문', '경주', '여행', '일정', '관련', '답변', '황리', '길', '맞춤', '경주', '여행', '일정', '준비', '아래', '첨부', '일정', '참고', '여행']"
경주 여행,https://kin.naver.com/qna/detail.naver?d1id=9&dirId=90111&docId=454682775&qb=6rK97KO87Jes7ZaJ&enc=utf8,경주 여행은 역사 여행에 의미를 두고 다녀왔는데요 생각보다는 재미가 없었어요 너무 진지하게 공부하는 느낌으로 질문하신 경주 여행지 관련 답변 드리도록 하겠습니다 가볼만한 경주 여행지 중에서는 동궁과 월지,"['경주', '여행']","['경주', '여행', '역사', '여행', '의미', '생각', '재미', '공부', '느낌', '질문', '경주', '여행지', '관련', '답변', '만', '경주', '여행지', '중', '동궁', '월지']","['경주', '여행', '경주', '여행', '역사', '여행', '의미', '생각', '재미', '공부', '느낌', '질문', '경주', '여행지', '관련', '답변', '만', '경주', '여행지', '중', '동궁', '월지']"
