rank,title,subtitle,writer,price,grade,image
53,그녀를 지키다,주제별 연상암기로 토익 영단어 30일 완성!,한강,"19,800",9.8,https://image.yes24.com/goods/143753016/L
54,내가 나라서 정말 좋아,이 계절을 함께 건너는 당신에게,장바티스트 앙드레아,"15,120",9.9,https://image.yes24.com/goods/140371473/L
55,2025 써니 행정법총론 봉투모의고사 (4회),관우의 길,정혜용,"7,200",9.9,https://image.yes24.com/goods/144594099/L
56,실패를 성공으로 바꾸는 주식투자의 기술,엉뚱 도전 속에 숨은 과학 상식,김지훤,"18,900",9.5,https://image.yes24.com/goods/146332254/L
57,작별하지 않는다,징그럽네,하꼬방,"15,120",9.6,https://image.yes24.com/goods/103495056/L
58,봄의 폭풍과 몬스터 6,현재와 미래가 달라지는 놀라운 혁명,박준철,"5,400",9.9,https://image.yes24.com/goods/146889899/L
59,해커스 토익 기출 VOCA (보카),5-9세를 위한 첫 대화법 연습책,정재호,"11,610",9.6,https://image.yes24.com/goods/67362730/L
60,우리의 낙원에서 만나자,격동의 한국 근대사를 뚫고 피어난 불멸의 예술혼,한강,"17,550",10.0,https://image.yes24.com/goods/146344852/L
61,설민석의 삼국지 대모험 22,지방직 대비,미츠바치 미유키,"12,600",10.0,https://image.yes24.com/goods/146889563/L
62,슈뻘맨의 숨은 과학 찾기 6,원어민처럼 자연스러운 영어 말하기 첫걸음,David Cho,"13,500",9.6,https://image.yes24.com/goods/146810420/L
63,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),따라 쓰기만 해도 마음의 키가 한 뼘 자라는,하태완,"10,350",10.0,https://image.yes24.com/goods/79297023/L
64,카구라바치 5 더블특전판,대치동 출신 김 선생의 독설,단꿈아이,"5,850",10.0,https://image.yes24.com/goods/146576419/L
65,오닉스 스톰 1,고등학생이 되기 전에 읽어야 할 비문학 독해 이야기,스튜디오 담,"17,100",10.0,https://image.yes24.com/goods/147034802/L
66,루리 드래곤 3,부정적 감정을 지우는 효과적인 뇌 사용법,남이담,"5,400",9.2,https://image.yes24.com/goods/146866351/L
